id,joke
86,I had a dream that I was a muffler last night. I woke up exhausted!
87,You heard of that new band 1023MB? They're good but they haven't got a gig yet.
88,Did you hear about the guy who invented Lifesavers? They say he made a mint.
89,Did you see they made round bails of hay illegal in Wisconsin? It’s because the cows weren’t getting a square meal.
90,What do you call a lonely cheese? Provolone.
91,"DAD, TO A SINGER: ""Don’t forget a bucket."" SINGER: ""Why?"" DAD: ""To carry your tune."""
92,I told my 14 year old son I thought 'Fortnite' was a stupid name for a computer game. I think it is just too weak.
93,How do you make a Kleenex dance? Put a little boogie in it!
94,"How do you tell the difference between a frog and a horny toad? A frog says, ""Ribbit, ribbit"" and a horny toad says, ""Rub it, rub it.”"
95,What do prisoners use to call each other? Cell phones.
96,Why didn't the vampire attack Taylor Swift? She had bad blood.
97,Why did the Clydesdale give the pony a glass of water? Because he was a little horse!
98,"NURSE: ""Blood type?"" DAD: ""Red."""
99,What do you call a fish with two knees? A “two-knee” fish.
100,"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian."
101,My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right.
102,"DAD: I was just listening to the radio on my way in to town, apparently an actress just killed herself."
103,How do you make holy water? You boil the hell out of it.
104,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
105,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
106,"If a child refuses to sleep during nap time, are they guilty of resisting a rest?"
107,"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald, duck!"""
108,I'm reading a book about anti-gravity. It's impossible to put down!
109,What do you call someone with no body and no nose? Nobody knows.
110,I ordered a chicken and an egg from Amazon. I’ll let you know
111,What is the least spoken language in the world? Sign language
112,"My daughter screeched, ""Daaaaaad, you haven't listened to one word I've said, have you!?"" What a strange way to start a conversation with me..."
113,A slice of apple pie is $2.50 in Jamaica and $3.00 in the Bahamas. These are the pie rates of the Caribbean.
114,"My wife tried to unlatch our daughter's car seat with one hand and said, ""How do one armed mothers do it?"" Without missing a beat I replied, ""Single handedly."""
115,"When a dad drives past a graveyard: Did you know that's a popular cemetery? Yep, people are just dying to get in there!"
116,"My friend keeps saying ""cheer up man it could be worse, you could be stuck underground in a hole full of water."" I know he means well."
117,"Justice is a dish best served cold, if it were served warm it would be justwater."
118,The fattest knight at King Arthur’s round table was Sir Cumference. He acquired his size from too much pi.
119,"MOM: ""How do I look?"" DAD: ""With your eyes."""
120,Why can't you hear a pterodactyl go to the bathroom? Because the pee is silent.
121,What does a zombie vegetarian eat? “GRRRAAAAAIIIINNNNS!”
122,Spring is here! I got so excited I wet my plants!
123,3 unwritten rules of life...
124,If you see a robbery at an Apple Store does that make you an iWitness?
125,Did you hear the news? FedEx and UPS are merging. They’re going to go by the name Fed-Up from now on.
126,Don't trust atoms. They make up everything!
127,"I told my son I was named after Thomas Jefferson… He said, “But dad, your name is Brian.” I said, “I know, but I was named AFTER Thomas Jefferson.”"
128,"KID: ""Dad, make me a sandwich!"" DAD: ""Poof, you’re a sandwich!”"
129,Why did the invisible man turn down the job offer? He couldn't see himself doing it.
130,"SERVER: ""Sorry about your wait."" DAD: ""Are you saying I’m fat?”"
131,What has two butts and kills people? An assassin
132,What did the pirate say on his 80th birthday? AYE MATEY
133,"CASHIER: ""Would you like the milk in a bag, sir?"" DAD: ""No, just leave it in the carton!’”"
134,"What's the best part about living in Switzerland? I don't know, but the flag is a big plus."
135,"When an ambulance zips past with its siren blaring: ""They won’t sell much ice cream driving that fast.”"
136,"If Snoop Dogg dies before pot becomes legal in the US, he will be rolling in his grave."
137,What do you call a dog that can do magic? A Labracadabrador.
138,5/4 of people admit that they’re bad with fractions.
139,Why couldn't the bike standup by itself? It was two tired.
140,What do you call a deer with no eyes? No idea!
141,"GRANDPA: I have a 'dad bod', DAD: To me it's more like a father figure."
142,What time did the man go to the dentist? Tooth hurt-y.
143,When a dad drives past a cow pasture: LOOK! That cow is OUT-STANDING in his field!
144,What’s Forrest Gump’s password? 1forrest1
145,I used to have a job at a calendar factory but I got the sack because I took a couple of days off.
146,"When you ask a dad if he's alright: ""No, I’m half left.”"
147,"KID: ""Hey, I was thinking…"" DAD: ""I thought I smelled something burning.”"
148,"A termite walks into a bar and asks, ""Is the bar tender here?"""
149,"Two guys walk into a bar, the third one ducks."
150,How many tickles does it take to make an octopus laugh? Ten-tickles.
151,"SON: *hands my Dad his 50th birthday card*, DAD: You know, one would have been enough."
152,"When a woman is giving birth, she is literally kidding."
153,"A ham sandwich walks into a bar and orders a beer. The bartender says, ""Sorry we don’t serve food here."""
154,"Can February March? No, but April May!"
155,What did the buffalo say to his son when he dropped him off at school? Bison.
156,Why did the crab never share? Because he's shellfish.
157,To call the whole Elon Musk controversy “Elon-Gate” seems like a bit of a stretch.
158,Two peanuts were walking down the street. One was a salted.
159,"What do you call a cow with two legs? Lean beef. If the cow has no legs, then it’s ground beef."
160,I just watched a documentary about beavers. It was the best dam show I ever saw!
161,What is Beethoven’s favorite fruit? A ba-na-na-na.
162,"When you ask a dad if they got a haircut: ""No, I got them all cut!"""
163,Where did the college-aged vampire like to shop? Forever 21.
164,"GROCERY STORE CHECKER: ""Paper or plastic?"" DAD: ""Either, I’m bisacktual.”"
165,"What did the horse say after it tripped? ""Help! I’ve fallen and I can’t giddyup!”"
166,You know what the loudest pet you can get is? A trumpet.
167,Why wasn't the woman happy with the velcro she bought? It was a total ripoff.
168,"What noise does a 747 make when it bounces? Boeing, Boeing, Boeing."
169,"I hear it's easy to get ladies not to eat Tide pods. It's more difficult to deter gents, though."
170,What do you call a factory that sells passable products? A satisfactory.
171,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, ""First offender?"" She says, ""No, first a Gibson! Then a Fender!”"
172,Did you hear about the circus fire? It was in tents!
173,"You're American when you go into the bathroom, and you're American when you come out, but do you know what you are while you're in there? European."
174,I’m only familiar with 25 letters in the English language. I don’t know why.
175,"WAITRESS: ""Soup or salad?"" DAD: ""I don’t want a SUPER salad, I want a regular salad.”"
176,What do you get when you cross a snowman with a vampire? Frostbite.
177,What does an angry pepper do? It gets jalapeño your face.
178,"As a lumberjack, I know that I’ve cut exactly 2,417 trees. I know because every time I cut one, I keep a log."
179,Want to hear a joke about a piece of paper? Never mind... it's tearable.
180,"Why do chicken coops only have two doors? Because if they had four, they would be chicken sedans!"
181,What do you get when you cross an elephant with a rhino? Elephino.
182,"I was interrogated over the theft of a cheese toastie. Man, they really grilled me."
183,If you rearrange the letters of “Postmen”. They get really pissed off.
184,"A three-legged dog walks into a bar and says to the bartender, ""I’m looking for the man who shot my paw."""
185,I had a dream that I was a muffler last night. I woke up exhausted!
186,You heard of that new band 1023MB? They're good but they haven't got a gig yet.
187,Did you hear about the guy who invented Lifesavers? They say he made a mint.
188,Did you see they made round bails of hay illegal in Wisconsin? It’s because the cows weren’t getting a square meal.
189,What do you call a lonely cheese? Provolone.
190,"DAD, TO A SINGER: ""Don’t forget a bucket."" SINGER: ""Why?"" DAD: ""To carry your tune."""
191,I told my 14 year old son I thought 'Fortnite' was a stupid name for a computer game. I think it is just too weak.
192,How do you make a Kleenex dance? Put a little boogie in it!
193,"How do you tell the difference between a frog and a horny toad? A frog says, ""Ribbit, ribbit"" and a horny toad says, ""Rub it, rub it.”"
194,What do prisoners use to call each other? Cell phones.
195,Why didn't the vampire attack Taylor Swift? She had bad blood.
196,Why did the Clydesdale give the pony a glass of water? Because he was a little horse!
197,"NURSE: ""Blood type?"" DAD: ""Red."""
198,What do you call a fish with two knees? A “two-knee” fish.
199,"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian."
200,My wife is really mad at the fact that I have no sense of direction. So I packed up my stuff and right.
201,"DAD: I was just listening to the radio on my way in to town, apparently an actress just killed herself."
202,How do you make holy water? You boil the hell out of it.
203,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
204,Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
205,"If a child refuses to sleep during nap time, are they guilty of resisting a rest?"
206,"The secret service isn't allowed to yell ""Get down!"" anymore when the president is about to be attacked. Now they have to yell ""Donald, duck!"""
207,I'm reading a book about anti-gravity. It's impossible to put down!
208,What do you call someone with no body and no nose? Nobody knows.
209,I ordered a chicken and an egg from Amazon. I’ll let you know
210,What is the least spoken language in the world? Sign language
211,"My daughter screeched, ""Daaaaaad, you haven't listened to one word I've said, have you!?"" What a strange way to start a conversation with me..."
212,A slice of apple pie is $2.50 in Jamaica and $3.00 in the Bahamas. These are the pie rates of the Caribbean.
213,"My wife tried to unlatch our daughter's car seat with one hand and said, ""How do one armed mothers do it?"" Without missing a beat I replied, ""Single handedly."""
214,"When a dad drives past a graveyard: Did you know that's a popular cemetery? Yep, people are just dying to get in there!"
215,"My friend keeps saying ""cheer up man it could be worse, you could be stuck underground in a hole full of water."" I know he means well."
216,"Justice is a dish best served cold, if it were served warm it would be justwater."
217,The fattest knight at King Arthur’s round table was Sir Cumference. He acquired his size from too much pi.
218,"MOM: ""How do I look?"" DAD: ""With your eyes."""
219,Why can't you hear a pterodactyl go to the bathroom? Because the pee is silent.
220,What does a zombie vegetarian eat? “GRRRAAAAAIIIINNNNS!”
221,Spring is here! I got so excited I wet my plants!
222,3 unwritten rules of life...
223,If you see a robbery at an Apple Store does that make you an iWitness?
224,Did you hear the news? FedEx and UPS are merging. They’re going to go by the name Fed-Up from now on.
225,Don't trust atoms. They make up everything!
226,"I told my son I was named after Thomas Jefferson… He said, “But dad, your name is Brian.” I said, “I know, but I was named AFTER Thomas Jefferson.”"
227,"KID: ""Dad, make me a sandwich!"" DAD: ""Poof, you’re a sandwich!”"
228,Why did the invisible man turn down the job offer? He couldn't see himself doing it.
229,"SERVER: ""Sorry about your wait."" DAD: ""Are you saying I’m fat?”"
230,What has two butts and kills people? An assassin
231,What did the pirate say on his 80th birthday? AYE MATEY
232,"CASHIER: ""Would you like the milk in a bag, sir?"" DAD: ""No, just leave it in the carton!’”"
233,"What's the best part about living in Switzerland? I don't know, but the flag is a big plus."
234,"When an ambulance zips past with its siren blaring: ""They won’t sell much ice cream driving that fast.”"
235,"If Snoop Dogg dies before pot becomes legal in the US, he will be rolling in his grave."
236,What do you call a dog that can do magic? A Labracadabrador.
237,5/4 of people admit that they’re bad with fractions.
238,Why couldn't the bike standup by itself? It was two tired.
239,What do you call a deer with no eyes? No idea!
240,"GRANDPA: I have a 'dad bod', DAD: To me it's more like a father figure."
241,What time did the man go to the dentist? Tooth hurt-y.
242,When a dad drives past a cow pasture: LOOK! That cow is OUT-STANDING in his field!
243,What’s Forrest Gump’s password? 1forrest1
244,I used to have a job at a calendar factory but I got the sack because I took a couple of days off.
245,"When you ask a dad if he's alright: ""No, I’m half left.”"
246,"KID: ""Hey, I was thinking…"" DAD: ""I thought I smelled something burning.”"
247,"A termite walks into a bar and asks, ""Is the bar tender here?"""
248,"Two guys walk into a bar, the third one ducks."
249,How many tickles does it take to make an octopus laugh? Ten-tickles.
250,"SON: *hands my Dad his 50th birthday card*, DAD: You know, one would have been enough."
251,"When a woman is giving birth, she is literally kidding."
252,"A ham sandwich walks into a bar and orders a beer. The bartender says, ""Sorry we don’t serve food here."""
253,"Can February March? No, but April May!"
254,What did the buffalo say to his son when he dropped him off at school? Bison.
255,Why did the crab never share? Because he's shellfish.
256,To call the whole Elon Musk controversy “Elon-Gate” seems like a bit of a stretch.
257,Two peanuts were walking down the street. One was a salted.
258,"What do you call a cow with two legs? Lean beef. If the cow has no legs, then it’s ground beef."
259,I just watched a documentary about beavers. It was the best dam show I ever saw!
260,What is Beethoven’s favorite fruit? A ba-na-na-na.
261,"When you ask a dad if they got a haircut: ""No, I got them all cut!"""
262,Where did the college-aged vampire like to shop? Forever 21.
263,"GROCERY STORE CHECKER: ""Paper or plastic?"" DAD: ""Either, I’m bisacktual.”"
264,"What did the horse say after it tripped? ""Help! I’ve fallen and I can’t giddyup!”"
265,You know what the loudest pet you can get is? A trumpet.
266,Why wasn't the woman happy with the velcro she bought? It was a total ripoff.
267,"What noise does a 747 make when it bounces? Boeing, Boeing, Boeing."
268,"I hear it's easy to get ladies not to eat Tide pods. It's more difficult to deter gents, though."
269,What do you call a factory that sells passable products? A satisfactory.
270,"A woman is on trial for beating her husband to death with his guitar collection. Judge says, ""First offender?"" She says, ""No, first a Gibson! Then a Fender!”"
271,Did you hear about the circus fire? It was in tents!
272,"You're American when you go into the bathroom, and you're American when you come out, but do you know what you are while you're in there? European."
273,I’m only familiar with 25 letters in the English language. I don’t know why.
274,"WAITRESS: ""Soup or salad?"" DAD: ""I don’t want a SUPER salad, I want a regular salad.”"
275,What do you get when you cross a snowman with a vampire? Frostbite.
276,What does an angry pepper do? It gets jalapeño your face.
277,"As a lumberjack, I know that I’ve cut exactly 2,417 trees. I know because every time I cut one, I keep a log."
278,Want to hear a joke about a piece of paper? Never mind... it's tearable.
279,"Why do chicken coops only have two doors? Because if they had four, they would be chicken sedans!"
280,What do you get when you cross an elephant with a rhino? Elephino.
281,"I was interrogated over the theft of a cheese toastie. Man, they really grilled me."
282,If you rearrange the letters of “Postmen”. They get really pissed off.
283,"A three-legged dog walks into a bar and says to the bartender, ""I’m looking for the man who shot my paw."""
284,I had a dream that I was a muffler last night. I woke up exhausted!
285,You heard of that new band 1023MB? They're good but they haven't got a gig yet.
286,Did you hear about the guy who invented Lifesavers? They say he made a mint.
287,Did you see they made round bails of hay illegal in Wisconsin? It’s because the cows weren’t getting a square meal.
288,What do you call a lonely cheese? Provolone.
289,"DAD, TO A SINGER: ""Don’t forget a bucket."" SINGER: ""Why?"" DAD: ""To carry your tune."""
290,I told my 14 year old son I thought 'Fortnite' was a stupid name for a computer game. I think it is just too weak.
291,How do you make a Kleenex dance? Put a little boogie in it!
292,"How do you tell the difference between a frog and a horny toad? A frog says, ""Ribbit, ribbit"" and a horny toad says, ""Rub it, rub it.”"
293,What do prisoners use to call each other? Cell phones.
294,Why didn't the vampire attack Taylor Swift? She had bad blood.
295,Why did the Clydesdale give the pony a glass of water? Because he was a little horse!
296,"NURSE: ""Blood type?"" DAD: ""Red."""
297,What do you call a fish with two knees? A “two-knee” fish.
